"Machine_Title","Machine Price","Machine Type","Primary Color","Product Summary","Special Feature","Week Avg. Cups","Week Avg. Espressos","__PowerAppsId__","URL","stocks","City","MID"
"Airport Lite","349","Commercial Coffee Makers","Green","If you want to serve delicious coffee efficiently to your small restaurant, cafe, or coffee shop, we have the perfect solution for you, the Contoso Airpot Lite.","Auto-Brew","1-100","50-100","54cd02e8-33d5-4843-9361-c8eb2744f362","https://www.super-espresso.com/wp-content/uploads/2013/06/Saeco-Focus-Automatic-Espresso-Machine-957x1024.jpg","8","Karachi",
"QuickPot","99","At Home Coffee Makers","Black","The QuickPot is small and mighty, and is capable of making the same rich coffee as any other machine we make with no unnecessary features.","Auto-Brew","1-100","1-100","38474ea5-afe7-4ea9-8d29-bd55580ccfeb","https://m.media-amazon.com/images/I/716wCbP9HOL._AC_SL1500_.jpg","5","Lahore",
"AutoDripLite","149","At Home Coffee Makers","Black","This simple but elegant coffee maker brews amazing coffee at a price that sets it apart from the competitors.","Auto-Brew","1-100","1-100","7c77d2c6-d873-42ab-9a5f-64867597ca9e","https://cdn.hiconsumption.com/wp-content/uploads/2023/04/Meticulous-Espresso-Machine-1-1440x960.jpg","11","Lahore",
"Airport Lite","349","Commercial Coffee Makers","Red","If you want to serve delicious coffee efficiently to your small restaurant, cafe, or coffee shop, we have the perfect solution for you, the Contoso Airpot Lite.","Auto-Brew","1-100","50-100","b6a4d173-c233-450f-801d-43f5b6363ac2","https://www.super-espresso.com/wp-content/uploads/2013/06/Saeco-Focus-Automatic-Espresso-Machine-957x1024.jpg","12","Peshawar",
"Airport Lite","349","Commercial Coffee Makers","White","If you want to serve delicious coffee efficiently to your small restaurant, cafe, or coffee shop, we have the perfect solution for you, the Contoso Airpot Lite.","Auto-Brew","1-100","50-100","ac31e4f9-cf84-4f22-a0a7-9f63883301d0","https://www.super-espresso.com/wp-content/uploads/2013/06/Saeco-Focus-Automatic-Espresso-Machine-957x1024.jpg","1","Lahore",
"Airpot","399","Commercial Coffee Makers","Black","Serving large-batch gourmet coffee just got a whole lot easier! With precision technology and easy-to-use features, this striking brewer takes the cake when it comes to providing impeccable coffee in fast-paced environments.","Auto-Brew","1-100","1-100","53df3713-7211-4903-a33d-b31918ed6b96","https://www.hirschs.co.za/media/catalog/product/cache/5650c527889287cec4d241f33ee3fa4b/7/9/79237.jpg","16","Gujrat",
"AutoDripXL","219","At Home Coffee Makers","Blue","Creating the perfect cup is easy with this large-capacity coffee maker.","Auto-Brew","50-100","1-100","cde82a64-55eb-41bd-916a-143e037a8429","https://buywisely.com.au/_next/image?url=%2Fimages%2Fkmart-espresso-machine-1.webp&w=640&q=75","11","Karachi",
"AutoDrip","179","At Home Coffee Makers","Blue","This stylish brewer makes consistently good coffee, and you can program it to brew automatically before you wake up.","Auto-Brew","1-100","1-100","4fb7e8e4-b7df-4df8-935e-4e42a7b089e6","https://madtasting.com/wp-content/uploads/2024/08/top_espresso_machines_2024-64.jpg","5","Quetta",
"AutoDripLite","149","At Home Coffee Makers","Blue","This simple but elegant coffee maker brews amazing coffee at a price that sets it apart from the competitors.","Auto-Brew","1-100","1-100","86f87cd0-6d72-4ff6-8db2-b866e4cbac74","https://cdn.hiconsumption.com/wp-content/uploads/2023/04/Meticulous-Espresso-Machine-1-1440x960.jpg","3","Lahore",
"Airpot","399","Commercial Coffee Makers","Blue","Serving large-batch gourmet coffee just got a whole lot easier! With precision technology and easy-to-use features, this striking brewer takes the cake when it comes to providing impeccable coffee in fast-paced environments.","Auto-Brew","1-100","1-100","c70bf3eb-9668-4903-98ab-b9c39b1d0e8f","https://www.hirschs.co.za/media/catalog/product/cache/5650c527889287cec4d241f33ee3fa4b/7/9/79237.jpg","18","Gujrat",
"QuickPot","99","At Home Coffee Makers","Blue","The QuickPot is small and mighty, and is capable of making the same rich coffee as any other machine we make with no unnecessary features.","Auto-Brew","1-100","1-100","19b0287d-7cd8-443d-a0a3-49a6695136de","https://m.media-amazon.com/images/I/716wCbP9HOL._AC_SL1500_.jpg","13","Lahore",
"Precision Brew Lite","399","At Home Coffee Makers","Red","The incredible carafe-free Precision Brew Lite uses unique technology to brew cup by cup, ensuring fresh hot coffee is always on hand.","Auto-Brew","	1-50","1-100","d1fc1834-0028-40cf-9df3-a6250ee8e174","https://i5.walmartimages.com/asr/02fb07fc-5d8a-4a44-a8e1-d1bbe29d28f7.22c05b4ca29e69e073d3916fcf41b4e1.jpeg","4","Quetta",
"Airpot","399","Commercial Coffee Makers","Green","Serving large-batch gourmet coffee just got a whole lot easier! With precision technology and easy-to-use features, this striking brewer takes the cake when it comes to providing impeccable coffee in fast-paced environments.","Auto-Brew","1-100","1-100","a178abab-f54c-4297-aa04-19ec44ab9df9","https://www.hirschs.co.za/media/catalog/product/cache/5650c527889287cec4d241f33ee3fa4b/7/9/79237.jpg","2","Lahore",
"AutoDripLite","149","At Home Coffee Makers","Green","This simple but elegant coffee maker brews amazing coffee at a price that sets it apart from the competitors.","Auto-Brew","1-100","1-100","e1a73bc6-e943-4f46-9dd3-e9d8c142ea90","https://cdn.hiconsumption.com/wp-content/uploads/2023/04/Meticulous-Espresso-Machine-1-1440x960.jpg","2","Multan",
"Airpot","399","Commercial Coffee Makers","Red","Serving large-batch gourmet coffee just got a whole lot easier! With precision technology and easy-to-use features, this striking brewer takes the cake when it comes to providing impeccable coffee in fast-paced environments.","Auto-Brew","1-100","1-100","47d0333f-5e73-42aa-95a3-b31278095c5b","https://www.hirschs.co.za/media/catalog/product/cache/5650c527889287cec4d241f33ee3fa4b/7/9/79237.jpg","11","Lahore",
"QuickPot","99","At Home Coffee Makers","Green","The QuickPot is small and mighty, and is capable of making the same rich coffee as any other machine we make with no unnecessary features.","Auto-Brew","1-100","1-100","9d635c67-a70f-4ae6-8db8-899657a5b52b","https://m.media-amazon.com/images/I/716wCbP9HOL._AC_SL1500_.jpg","14","Karachi",
"AutoDrip","179","At Home Coffee Makers","Green","This stylish brewer makes consistently good coffee, and you can program it to brew automatically before you wake up.","Auto-Brew","1-100","1-100","1173ec5c-af42-4960-bf60-99e8e7d062ca","https://madtasting.com/wp-content/uploads/2024/08/top_espresso_machines_2024-64.jpg","17","Karachi",
"Airpot","399","Commercial Coffee Makers","White","Serving large-batch gourmet coffee just got a whole lot easier! With precision technology and easy-to-use features, this striking brewer takes the cake when it comes to providing impeccable coffee in fast-paced environments.","Auto-Brew","1-100","1-100","cfacf4af-75fc-46aa-bb03-1aaded7b4983","https://www.hirschs.co.za/media/catalog/product/cache/5650c527889287cec4d241f33ee3fa4b/7/9/79237.jpg","11","Lahore",
"Precision Brew 100","449","At Home Coffee Makers","White","Wake up each and every morning to a fragrant, freshly brewed pot of coffee when you use the fully programable Precision Brew 100.","Auto-Brew","50-100","1-100","d0f8b39c-a9e8-4db9-bb18-9c602624be47","https://m.media-amazon.com/images/I/71nzEwfsb-L.jpg","6","Sialkot",
"Airpot Duo","499","Commercial Coffee Makers","Black","The Airpot Duo coffee brewer offers the user precise control over brewing aspects such as time, temperature, and volume. It also offers control over other brewing parameters such as pre-infusion and pulse-brewing.","Auto-Brew","1-100","1-100","e722a3f3-2be9-446e-bf8c-574914dbc4e6","https://dyzmn8020x6cd.cloudfront.net/sys-master/products/h13/h13/8817325211678/REM01-product-SS14-01.jpg_MEDIUM","11","Sialkot",
"Airpot Duo","499","Commercial Coffee Makers","Blue","The Airpot Duo coffee brewer offers the user precise control over brewing aspects such as time, temperature, and volume. It also offers control over other brewing parameters such as pre-infusion and pulse-brewing.","The Airpot Duo coffee brewer offers the user precise control over brewing aspects such as time, temperature, and volume. It also offers control over other brewing parameters such as pre-infusion and pulse-brewing.","1-100","1-100","03f9dc28-98aa-4921-8a05-83f02ad40e46","https://dyzmn8020x6cd.cloudfront.net/sys-master/products/h13/h13/8817325211678/REM01-product-SS14-01.jpg_MEDIUM","19","Gujrat",
"AutoDripXL","219","At Home Coffee Makers","Green","Creating the perfect cup is easy with this large-capacity coffee maker.","Auto-Brew","50-100","1-100","7db361bf-c57d-4108-ac34-8894e187cfdb","https://buywisely.com.au/_next/image?url=%2Fimages%2Fkmart-espresso-machine-1.webp&w=640&q=75","3","Quetta",
"AutoDrip","179","At Home Coffee Makers","Red","This stylish brewer makes consistently good coffee, and you can program it to brew automatically before you wake up.","Auto-Brew","1-100","1-100","346c7bbe-be08-4501-8786-ae7da7c1c3f5","https://madtasting.com/wp-content/uploads/2024/08/top_espresso_machines_2024-64.jpg","11","Karachi",
"Airpot Duo","499","Commercial Coffee Makers","Green","The Airpot Duo coffee brewer offers the user precise control over brewing aspects such as time, temperature, and volume. It also offers control over other brewing parameters such as pre-infusion and pulse-brewing.","Auto-Brew","1-100","1-100","0fff1b47-22d5-4608-9fd6-6a58952d7a47","https://dyzmn8020x6cd.cloudfront.net/sys-master/products/h13/h13/8817325211678/REM01-product-SS14-01.jpg_MEDIUM","8","Quetta",
"Airpot Duo","499","Commercial Coffee Makers","Red","The Airpot Duo coffee brewer offers the user precise control over brewing aspects such as time, temperature, and volume. It also offers control over other brewing parameters such as pre-infusion and pulse-brewing.","Auto-Brew","1-100","1-100","16891db1-4ebe-4b94-bb83-f1808e33a586","https://dyzmn8020x6cd.cloudfront.net/sys-master/products/h13/h13/8817325211678/REM01-product-SS14-01.jpg_MEDIUM","10","Multan",
"AutoDripLite","149","At Home Coffee Makers","Red","This simple but elegant coffee maker brews amazing coffee at a price that sets it apart from the competitors.","Auto-Brew","1-100","1-100","44122ac2-6650-4144-83bd-10beb31fffd1","44122ac2-6650-4144-83bd-10beb31fffd1","14","Peshawar",
"AutoDripXL","219","At Home Coffee Makers","Red","Creating the perfect cup is easy with this large-capacity coffee maker.","Auto-Brew","50-100","1-100","a659f168-c54a-4a5b-a2ed-cc82b752c4a0","https://buywisely.com.au/_next/image?url=%2Fimages%2Fkmart-espresso-machine-1.webp&w=640&q=75","17","Sialkot",
"Airpot Duo","499","Commercial Coffee Makers","White","The Airpot Duo coffee brewer offers the user precise control over brewing aspects such as time, temperature, and volume. It also offers control over other brewing parameters such as pre-infusion and pulse-brewing.","Auto-Brew","1-100","1-100","c09f8ac4-38b0-44d7-9b76-8283890d5453","https://dyzmn8020x6cd.cloudfront.net/sys-master/products/h13/h13/8817325211678/REM01-product-SS14-01.jpg_MEDIUM","10","Peshawar",
"QuickPot","99","At Home Coffee Makers","Red","The QuickPot is small and mighty, and is capable of making the same rich coffee as any other machine we make with no unnecessary features.","Auto-Brew","1-100","1-100","beac6d28-e551-483c-b272-162b08348af0","https://m.media-amazon.com/images/I/716wCbP9HOL._AC_SL1500_.jpg","4","Quetta",
"Airpot XL","499","Commercial Coffee Makers","Black","The Airpot XL provides flexibility in high-volume, large sized venues such as Banquet Halls, Cafeterias and Restaurants. This machine helps simplify your daily operations, while giving you total control of your brew.","Auto-Brew","1-100","50-100","5175e549-ee7e-4535-a8ab-0b03fdbcbcd5","https://tastylicious.com/wp-content/uploads/2022/11/coffee-dripping-from-espresso-machine-into-glass-espresso-cup.jpg","5","Lahore",
"Airpot XL","499","Commercial Coffee Makers","Blue","The Airpot XL provides flexibility in high-volume, large sized venues such as Banquet Halls, Cafeterias and Restaurants. This machine helps simplify your daily operations, while giving you total control of your brew.","Auto-Brew","1-100","50-100","9e5ef82b-8ba7-47f7-ae1b-adb9d5728cc0","https://tastylicious.com/wp-content/uploads/2022/11/coffee-dripping-from-espresso-machine-into-glass-espresso-cup.jpg","11","Peshawar",
"Airpot XL","499","Commercial Coffee Makers","Green","The Airpot XL provides flexibility in high-volume, large sized venues such as Banquet Halls, Cafeterias and Restaurants. This machine helps simplify your daily operations, while giving you total control of your brew.","Auto-Brew","1-100","50-100","f5f1011b-1040-4936-8700-e7a32b27f6b8","https://tastylicious.com/wp-content/uploads/2022/11/coffee-dripping-from-espresso-machine-into-glass-espresso-cup.jpg","7","Gujrat",
"AutoDripLite","149","At Home Coffee Makers","White","This simple but elegant coffee maker brews amazing coffee at a price that sets it apart from the competitors.","Auto-Brew","1-100","1-100","e1a6421b-35bf-42b2-a346-a701cec49ece","https://cdn.hiconsumption.com/wp-content/uploads/2023/04/Meticulous-Espresso-Machine-1-1440x960.jpg","18","Gujrat",
"AutoDripXL","219","At Home Coffee Makers","White","Creating the perfect cup is easy with this large-capacity coffee maker.","Auto-Brew","50-100","1-100","356b8172-f15a-484f-919c-99829c6ecc54","https://buywisely.com.au/_next/image?url=%2Fimages%2Fkmart-espresso-machine-1.webp&w=640&q=75","1","Karachi",
"Precision Brew Lite","399","At Home Coffee Makers","White","The incredible carafe-free Precision Brew Lite uses unique technology to brew cup by cup, ensuring fresh hot coffee is always on hand.","Auto-Brew","	1-50","1-100","b94cd249-ae54-4283-a73c-4f0f3001a872","https://i5.walmartimages.com/asr/02fb07fc-5d8a-4a44-a8e1-d1bbe29d28f7.22c05b4ca29e69e073d3916fcf41b4e1.jpeg","7","Quetta",
"QuickPot","99","At Home Coffee Makers","White","The QuickPot is small and mighty, and is capable of making the same rich coffee as any other machine we make with no unnecessary features.","Auto-Brew","1-100","1-100","412dff4c-7365-47fb-8e9e-0633aa7b6670","https://m.media-amazon.com/images/I/716wCbP9HOL._AC_SL1500_.jpg","4","Lahore",
"AutoDrip","179","At Home Coffee Makers","White","This stylish brewer makes consistently good coffee, and you can program it to brew automatically before you wake up.","Auto-Brew","1-100","1-100","928d2c39-5ab6-4303-96b7-aab656ce902e","https://madtasting.com/wp-content/uploads/2024/08/top_espresso_machines_2024-64.jpg","15","Lahore",
"Airpot XL","499","Commercial Coffee Makers","Red","The Airpot XL provides flexibility in high-volume, large sized venues such as Banquet Halls, Cafeterias and Restaurants. This machine helps simplify your daily operations, while giving you total control of your brew.","Auto-Brew","1-100","50-100","1964ed0d-ed37-48c5-9ef5-063add33c9a1","https://tastylicious.com/wp-content/uploads/2022/11/coffee-dripping-from-espresso-machine-into-glass-espresso-cup.jpg","6","Peshawar",
"Airpot XL","499","Commercial Coffee Makers","White","The Airpot XL provides flexibility in high-volume, large sized venues such as Banquet Halls, Cafeterias and Restaurants. This machine helps simplify your daily operations, while giving you total control of your brew.","Auto-Brew","1-100","50-100","27de3fa2-7eaa-40e7-bcfc-18e4a1a0dd99","https://tastylicious.com/wp-content/uploads/2022/11/coffee-dripping-from-espresso-machine-into-glass-espresso-cup.jpg","0","Quetta",
"bistra","12","none","Red","abc","none","1-20","20-90",,"https""//","12",,
"idap coffee","12","none","Silver","abc","none","1-20","20-90",,"https://bucket-smeg.4flow.cloud/OBJECTS/JPG%2072%20dpi/EGF03BLUK.jpg","22",,
"new barista","23","new","Silver","none","new","1-20","20-30",,"https://","0",,
"machine 1","123","New","Red","abc","none","1-20","20-30",,"https://","45",,
